"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"CONNOR MCDAVID","","C","26","L","EDM","82","64","89","153","1.87","153","153","11","71","03:56","79.6","22:23","351","22","36","3","$12.00M","$12.50M","$12.50M"
"LEON DRAISAITL","","R","27","L","EDM","80","52","76","128","1.60","128","131","11","62","03:58","80.6","21:44","247","7","24","2","$8.00M","$8.50M","$8.50M"
"DAVID PASTRNAK","","R","27","R","BOS","82","61","52","113","1.38","113","113","13","37","03:50","72.0","19:34","407","34","38","7","$6.40M","$6.67M","$6.67M"
"NIKITA KUCHEROV","","R","30","L","T.B","82","30","83","113","1.38","113","113","4","50","04:00","74.6","20:08","271","-2","36","4","$9.00M","$9.50M","$9.50M"
"NATHAN MACKINNON","","C","28","R","COL","71","42","69","111","1.56","111","128","9","34","04:05","75.7","22:19","366","28","30","7","$6.85M","$6.30M","$6.30M"
"MATTHEW TKACHUK","","R","25","L","FLA","79","40","69","109","1.38","109","113","6","36","04:26","76.6","20:26","324","29","123","7","$9.00M","$9.50M","$9.50M"
"JASON ROBERTSON","","L","24","L","DAL","82","46","63","109","1.33","109","109","7","41","03:19","66.3","18:50","313","37","20","3","$4.50M","$7.75M","$7.75M"
"MIKKO RANTANEN","","R","26","L","COL","82","55","50","105","1.28","105","105","9","37","04:09","78.6","22:13","306","15","82","2","$6.00M","$9.25M","$9.25M"
"RYAN NUGENT-HOPKINS","","C","30","L","EDM","82","37","67","104","1.27","104","104","3","53","03:52","78.4","19:48","201","12","35","6","$5.25M","$5.13M","$5.13M"
"ELIAS PETTERSSON","","C","24","L","VAN","80","40","62","102","1.28","102","105","6","25","03:50","70.6","20:33","258","17","14","1","$7.80M","$7.35M","$7.35M"
"ERIK KARLSSON","","D","33","R","PIT","82","25","76","101","1.23","101","101","4","27","03:24","74.1","25:37","209","-26","36","4","$12.00M","$11.50M","$11.50M"
"MITCHELL MARNER","","R","26","R","TOR","80","30","69","99","1.24","99","101","4","36","03:34","73.0","21:17","196","18","28","2","$8.00M","$10.90M","$10.90M"
"JACK HUGHES","","C","22","L","N.J","78","43","56","99","1.27","99","104","6","31","03:10","71.1","19:58","336","11","6","7","$9.00M","$8.00M","$8.00M"
"BRAYDEN POINT","","C","27","R","T.B","82","51","44","95","1.16","95","95","9","30","03:48","70.9","19:40","235","2","7","7","$9.00M","$9.50M","$9.50M"
"TAGE THOMPSON","","C","25","R","BUF","78","47","47","94","1.21","94","99","7","34","03:21","61.7","18:35","297","4","39","7","$1.60M","$1.40M","$1.40M"
"SIDNEY CROSBY","","C","36","L","PIT","82","33","60","93","1.13","93","93","9","27","03:56","69.3","20:09","255","8","52","2","$3.00M","$8.70M","$8.70M"
"ARTEMI PANARIN","","L","31","R","NYR","82","29","63","92","1.12","92","92","4","36","03:35","73.3","19:36","204","4","36","3","$12.50M","$11.64M","$11.64M"
"MIKA ZIBANEJAD","","C","30","R","NYR","82","39","52","91","1.11","91","91","5","39","03:30","71.4","19:58","251","25","20","7","$8.00M","$8.50M","$8.50M"
"TIM STUTZLE","","C","21","L","OTT","78","39","51","90","1.15","90","95","3","28","03:58","65.6","21:16","228","-2","54","7","$0.93M","$0.93M","$3.43M"
"WILLIAM NYLANDER","","R","27","R","TOR","82","40","47","87","1.06","87","87","5","28","03:35","73.0","18:33","293","10","28","1","$6.00M","$6.96M","$6.96M"
"CLAYTON KELLER","","L","25","L","ARI","82","37","49","86","1.05","86","86","4","20","03:13","66.0","20:45","223","-2","49","5","$7.50M","$7.15M","$7.15M"
"AUSTON MATTHEWS","","C","26","L","TOR","74","40","45","85","1.15","85","94","8","28","03:38","73.8","20:17","327","31","20","5","$7.95M","$11.64M","$11.64M"
"STEVEN STAMKOS","","R","33","R","T.B","81","34","50","84","1.04","84","85","6","35","03:58","73.7","19:01","240","-5","46","1","$6.50M","$8.50M","$8.50M"
"ZACH HYMAN","","R","31","R","EDM","79","36","47","83","1.05","83","86","3","26","03:30","70.6","20:09","276","13","39","5","$5.10M","$5.50M","$5.50M"
"J.T. MILLER","","C","30","L","VAN","81","32","51","83","1.02","83","84","3","31","03:59","73.0","20:41","223","-8","60","7","$4.50M","$5.25M","$5.25M"
"BRADY TKACHUK","","L","24","L","OTT","82","35","48","83","1.01","83","83","6","29","04:08","67.8","18:38","347","-11","126","5","$6.50M","$8.21M","$8.21M"
"EVGENI MALKIN","","C","37","L","PIT","82","27","56","83","1.01","83","83","3","36","04:06","72.3","18:35","240","-12","82","3","$8.00M","$6.10M","$6.10M"
"JEFF SKINNER","","L","31","L","BUF","79","35","47","82","1.04","82","85","3","21","03:13","60.2","17:24","241","15","39","4","$10.00M","$9.00M","$9.00M"
"KYLE CONNOR","","L","26","L","WPG","82","32","49","81","0.99","81","81","9","29","03:42","67.1","20:32","274","-12","20","3","$5.00M","$7.14M","$7.14M"
"JOHN TAVARES","","C","33","L","TOR","80","36","44","80","1.00","80","82","9","39","03:27","69.5","17:39","277","-7","34","2","$7.95M","$11.00M","$11.00M"
"NICO HISCHIER","","C","24","L","N.J","81","31","49","80","0.99","80","81","9","19","02:58","68.0","19:18","256","32","10","4","$4.50M","$7.25M","$7.25M"
"CLAUDE GIROUX","","R","35","R","OTT","82","35","44","79","0.96","79","79","6","24","02:43","44.6","18:48","214","5","34","2","$7.00M","$6.50M","$6.50M"
"ALEX TUCH","","R","27","R","BUF","74","36","43","79","1.07","79","88","9","20","03:21","61.1","19:09","218","14","20","3","$4.75M","$4.75M","$4.75M"
"DYLAN LARKIN","","C","27","L","DET","80","32","47","79","0.99","79","81","5","31","03:28","64.6","19:33","244","-7","45","7","$5.25M","$6.10M","$6.10M"
"ALEKSANDER BARKOV","","C","28","L","FLA","68","23","55","78","1.15","78","94","6","30","04:08","68.0","21:13","210","10","8","7","$12.00M","$10.00M","$10.00M"
"JAMIE BENN","","L","34","L","DAL","82","33","45","78","0.95","78","78","4","30","02:56","58.6","15:47","190","23","34","2","$6.50M","$9.50M","$9.50M"
"JOE PAVELSKI","","R","39","R","DAL","82","28","49","77","0.94","77","77","2","27","03:05","61.4","17:43","184","42","8","1","$5.50M","$5.50M","$6.00M"
"JOSH MORRISSEY","","D","28","L","WPG","78","16","60","76","0.97","76","80","6","28","03:43","66.7","24:14","172","2","41","5","$5.20M","$6.25M","$6.25M"
"QUINN HUGHES","","D","24","L","VAN","78","7","69","76","0.97","76","80","0","34","04:07","74.7","25:40","154","15","34","4","$6.50M","$7.85M","$7.85M"
"ALEX OVECHKIN","","L","38","R","WSH","73","42","33","75","1.03","75","84","3","25","04:42","96.5","20:12","294","-16","48","3","$10.00M","$9.50M","$9.50M"
"BROCK NELSON","","C","32","L","NYI","82","36","39","75","0.91","75","75","8","17","02:59","64.1","18:26","222","14","24","2","$5.20M","$6.00M","$6.00M"
"ROOPE HINTZ","","C","26","L","DAL","73","37","38","75","1.03","75","84","5","21","03:00","58.8","17:33","184","31","30","7","$4.45M","$3.15M","$3.15M"
"KIRILL KAPRIZOV","","L","26","L","MIN","67","40","35","75","1.12","75","92","6","32","03:53","76.7","21:07","261","4","35","3","$10.00M","$9.00M","$9.00M"
"ANZE KOPITAR","","C","36","L","L.A","82","28","46","74","0.90","74","74","4","20","03:01","58.8","20:18","169","19","4","3","$7.00M","$10.00M","$10.00M"
"DOUGIE HAMILTON","","D","30","R","N.J","82","22","52","74","0.90","74","74","7","28","03:05","70.3","21:46","275","23","50","5","$6.30M","$9.00M","$9.00M"
"JOHNNY GAUDREAU","","L","30","L","CBJ","80","21","53","74","0.93","74","76","4","23","03:10","69.7","19:25","220","-32","22","6","$9.75M","$9.75M","$9.75M"
"MIRO HEISKANEN","","D","24","L","DAL","79","11","62","73","0.92","73","76","2","34","03:15","64.6","25:29","206","12","32","6","$7.00M","$8.45M","$8.45M"
"JAKE GUENTZEL","","L","29","L","PIT","78","36","37","73","0.94","73","77","6","23","03:54","69.8","20:07","243","2","46","1","$5.00M","$6.00M","$6.00M"
"JESPER BRATT","","R","25","L","N.J","82","32","41","73","0.89","73","73","3","22","02:47","63.7","17:22","212","14","6","7","$5.45M","$5.45M","$5.45M"
"TYLER TOFFOLI","","L","31","R","N.J","82","34","39","73","0.89","73","73","4","25","02:54","56.0","16:37","268","16","28","1","$5.13M","$4.25M","$4.25M"
"BRANDON MONTOUR","","D","29","R","FLA","80","16","57","73","0.91","73","75","5","33","04:17","73.9","24:08","242","9","107","1","$3.50M","$3.50M","$3.50M"
