"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"334","Nathan MacKinnon","COL","C","71","1189.7333333333","25","40","30","10","65","80.25","231","10.82","17.85","398","300","212","75","14","22","24","12","12","0","0","28","34","39","47","59","38","452","567","44.36"
"76","Erik Karlsson","S.J","D","82","1667.8","16","48","29","19","64","66.67","152","10.53","8.43","355","206","151","25","48","31","30","11","10","0","1","13","84","73","29","92","79","0","1","0.00"
"384","David Pastrnak","BOS","R","82","1185.8333333333","34","27","14","13","61","83.56","254","13.39","20.96","431","330","242","87","16","30","26","12","12","0","0","23","84","44","82","103","23","6","9","40.00"
"397","Brayden Point","T.B","C","82","1203.25","29","30","16","14","59","79.73","155","18.71","21","257","208","217","123","29","26","5","1","0","1","0","14","33","42","34","87","34","331","339","49.40"
"438","Connor McDavid","EDM","C","82","1308.2666666667","32","27","20","7","59","78.67","209","15.31","21.88","305","260","221","102","10","22","30","15","15","0","0","33","50","56","78","81","35","451","428","51.31"
"519","Matthew Tkachuk","FLA","L","79","1120.9333333333","22","36","22","14","58","65.17","194","11.34","20.77","334","251","212","99","9","33","64","25","22","2","1","36","43","33","64","49","28","9","8","52.94"
"159","Jeff Skinner","BUF","L","79","1071.8833333333","25","31","19","12","56","70.00","170","14.71","19.33","313","233","209","102","12","33","21","9","8","1","0","28","39","40","19","52","14","100","115","46.51"
"637","Elias Pettersson","VAN","C","80","1100.6","21","35","20","15","56","86.15","145","14.48","16.25","252","202","154","70","4","22","10","5","5","0","0","34","33","41","55","71","72","395","497","44.28"
"644","Jason Robertson","DAL","L","82","1186.4833333333","26","30","19","11","56","78.87","194","13.40","17.34","356","260","193","79","4","35","12","6","6","0","0","10","58","56","54","73","15","0","0","-"
"812","Jack Hughes","N.J","C","78","1201.7666666667","28","28","18","10","56","78.87","221","12.67","21.74","360","277","228","88","37","29","6","3","3","0","0","16","61","52","9","88","23","149","277","34.98"
"17","Sidney Crosby","PIT","C","82","1240.9166666667","22","33","19","14","55","82.09","180","12.22","19.53","307","249","179","98","22","33","50","17","15","0","2","17","57","54","69","77","43","739","665","52.64"
"574","Tage Thompson","BUF","C, R","78","1066.8166666667","25","30","20","10","55","80.88","196","12.76","20.84","371","283","220","95","13","34","39","18","17","1","0","23","31","37","50","72","23","309","406","43.22"
"447","Mikko Rantanen","COL","R","82","1357.7333333333","32","21","14","7","53","70.67","204","15.69","19.59","362","274","204","84","9","26","80","32","30","0","2","27","33","55","70","112","39","155","152","50.49"
"478","Mitchell Marner","TOR","R","80","1143.8833333333","15","38","28","10","53","82.81","116","12.93","9.39","248","163","126","38","6","20","22","11","11","0","0","18","65","77","48","100","29","0","3","0.00"
"537","Clayton Keller","ARI","R","82","1290.8333333333","24","29","23","6","53","81.54","158","15.19","14.17","271","212","160","57","7","20","43","16","14","1","1","24","49","48","17","53","29","16","26","38.10"
"309","Carter Verhaeghe","FLA","C","81","1148.1833333333","28","24","11","13","52","76.47","202","13.86","21.26","337","257","212","94","8","34","42","21","21","0","0","24","44","35","28","100","24","20","18","52.63"
"522","Auston Matthews","TOR","C","74","1145.7833333333","26","26","19","7","52","69.33","233","11.16","25.65","399","320","284","124","8","38","14","7","7","0","0","28","41","61","71","86","86","517","465","52.65"
"207","Nikita Kucherov","T.B","R","82","1226.7666666667","15","36","20","16","51","70.83","156","9.62","16.14","336","237","205","83","47","39","22","11","11","0","0","31","66","50","51","87","23","0","0","-"
"367","Leon Draisaitl","EDM","C","80","1269.7166666667","17","34","29","5","51","68.92","119","14.29","12.17","219","175","140","52","6","19","18","9","9","0","0","20","79","61","62","115","31","475","442","51.80"
"491","Artemi Panarin","NYR","L","82","1224.2","19","31","19","12","50","79.37","119","15.97","10.7","236","170","119","33","7","14","24","12","12","0","0","14","89","34","22","37","10","6","12","33.33"
"370","William Nylander","TOR","R","82","1124.75","22","27","13","14","49","76.56","204","10.78","19.94","357","277","223","96","18","23","22","11","11","0","0","17","29","64","17","84","23","20","21","48.78"
"947","Andrei Kuzmenko","VAN","L","81","1023.7333333333","21","28","11","17","49","76.56","93","22.58","11.05","193","136","136","64","4","15","4","2","2","0","0","10","26","31","13","52","18","0","0","-"
